,FinalURL,CustomParameter,Identifier
0,"https://www.overstock.com/Bedding-Bath/Sheets/King,/size,/4549/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497805785&ds_s_kwgid=58700002120326170"",""mkwid"":""252799386294515""}",Experiment-Bedding Geo Jan 24
1,https://www.overstock.com/Bedding-Bath/Luxury-Bedding-Bath/10000/dept.html?products=14096593&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498052541&ds_s_kwgid=58700002120453679"",""mkwid"":""258957161554590""}",Experiment-Bedding Geo Jan 24
2,"https://www.overstock.com/Bedding-Bath/Down-Pillows/Goose-Down,/fill-type,/759/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492422542&ds_s_kwgid=58700002118792629"",""mkwid"":""236437260080960""}",Experiment-Bedding Geo Jan 24
3,https://www.overstock.com/Bedding-Bath/Pillowcases/4550/cat.html?TID=TN:BB:Pillowcase&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492461464&ds_s_kwgid=58700002118813548"",""mkwid"":""279450006930449""}",Experiment-Bedding Geo Jan 24
4,"https://www.overstock.com/Bedding-Bath/Sheets-Pillowcases/Stripe,striped,/pattern,k,/459/dept.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492301513&ds_s_kwgid=58700002120450826"",""mkwid"":""107661905031716""}",Experiment-Bedding Geo Jan 24
5,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Silk,/material,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498023480&ds_s_kwgid=58700002118791732"",""mkwid"":""3732263796075""}",Experiment-Bedding Geo Jan 24
6,"https://www.overstock.com/Bedding-Bath/Quilts/King,1-Piece,/size,set-include,/1984/subcat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498077573&ds_s_kwgid=58700002118792575"",""mkwid"":""169125612436628""}",Experiment-Bedding Geo Jan 24
7,"https://www.overstock.com/Bedding-Bath/Bed-in-a-Bag/On-Sale,/on__sale,/4537/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498393204&ds_s_kwgid=58700002118790679"",""mkwid"":""50267462321149""}",Experiment-Bedding Geo Jan 24
8,https://www.overstock.com/search?keywords=&taxonomy=sto43&searchtype=guidedNav&additionalKeywords=tapestry+bedding&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498504354&ds_s_kwgid=58700002117710648"",""mkwid"":""207216050370001""}",Experiment-Bedding Geo Jan 24
9,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Pink,/color,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498494412&ds_s_kwgid=58700002117710609"",""mkwid"":""167111729890505""}",Experiment-Bedding Geo Jan 24
10,https://www.overstock.com/search?keywords=&taxonomy=dep459&searchtype=guidedNav&additionalKeywords=velvet&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492367336&ds_s_kwgid=58700002117707474"",""mkwid"":""197855947398103""}",Experiment-Bedding Geo Jan 24
11,"https://www.overstock.com/Bedding-Bath/Pillowcases/Body-Pillow,/size,/4550/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492422248&ds_s_kwgid=58700002118792623"",""mkwid"":""227341092949387""}",Experiment-Bedding Geo Jan 24
12,"https://www.overstock.com/Bedding-Bath/Duvet-Covers/Grey,/color,/4540/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498476229&ds_s_kwgid=58700002117710564"",""mkwid"":""257588179939618""}",Experiment-Bedding Geo Jan 24
13,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Twin,set,/size,k,/454/dept.html?searchtype=guidedNav&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498030534&ds_s_kwgid=58700002117572510"",""mkwid"":""285136639879998""}",Experiment-Bedding Geo Jan 24
14,"https://www.overstock.com/Bedding-Bath/Fashion-Bedding/Queen,/size,/454/dept.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492129139&ds_s_kwgid=58700002120322246"",""mkwid"":""86880951590842""}",Experiment-Bedding Geo Jan 24
15,"https://www.overstock.com/Bedding-Bath/Bedskirts/King,/size,/4530/cat.html?sort=Top%20Sellers&","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498122484&ds_s_kwgid=58700002120322066"",""mkwid"":""250592275043213""}",Experiment-Bedding Geo Jan 24
16,"https://www.overstock.com/Bedding-Bath/Comforter-Sets/King,/size,/4538/cat.html?","{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497619365&ds_s_kwgid=58700002120326002"",""mkwid"":""66355505708041""}",Experiment-Bedding Geo Jan 24
17,https://www.overstock.com/Bedding-Bath/Memory-Foam-Mattress-Toppers/4545/cat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017498322446&ds_s_kwgid=58700002120450580"",""mkwid"":""15732946491695""}",Experiment-Bedding Geo Jan 24
18,https://www.overstock.com/Bedding-Bath/Fashion-Bedding/454/dept.html?sort=On%20Sale&,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017492160036&ds_s_kwgid=58700002120427549"",""mkwid"":""234871586018591""}",Experiment-Bedding Geo Jan 24
19,https://www.overstock.com/Bedding-Bath/Bedspreads/7242/subcat.html?,"{""cidmapping"":""128506"",""dssagcrid"":""lid=43700017497739023&ds_s_kwgid=58700002117572543"",""mkwid"":""126251851616170""}",Experiment-Bedding Geo Jan 24
