,FinalURL,CustomParameter,Identifier
0,"https://www.overstock.com/Jewelry-Watches/Watches/Michael-Kors,/brand,/292/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064870039&ds_s_kwgid=58700002556583405""}",Experiment_Jewelry_Smart Bidding 4
1,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=bridal,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065659701&ds_s_kwgid=58700002556568891""}",Experiment_Jewelry_Smart Bidding 4
2,https://www.overstock.com/search?keywords=&taxonomy=cat2357&searchtype=guidedNav&additionalKeywords=unique,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064712164&ds_s_kwgid=58700002557773509""}",Experiment_Jewelry_Smart Bidding 4
3,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=gemstone+beads,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064864819&ds_s_kwgid=58700002556581329""}",Experiment_Jewelry_Smart Bidding 4
4,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=feather,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065620023&ds_s_kwgid=58700002557778972""}",Experiment_Jewelry_Smart Bidding 4
5,"https://www.overstock.com/Jewelry-Watches/Diamond-Earrings/Hoop,/style,/14495/subcat.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064815814&ds_s_kwgid=58700002558708616""}",Experiment_Jewelry_Smart Bidding 4
6,https://www.overstock.com/search?keywords=&taxonomy=sub14558&searchtype=guidedNav&additionalKeywords=personalized,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065688801&ds_s_kwgid=58700002556578308""}",Experiment_Jewelry_Smart Bidding 4
7,"https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/Jewelry-Box,White,/type,color,/3430/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064838110&ds_s_kwgid=58700002556571396""}",Experiment_Jewelry_Smart Bidding 4
8,https://www.overstock.com/search?keywords=&taxonomy=cat2361&searchtype=guidedNav&additionalKeywords=his+and+her,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063380735&ds_s_kwgid=58700002557773845""}",Experiment_Jewelry_Smart Bidding 4
9,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=drop,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065662479&ds_s_kwgid=58700002556570427""}",Experiment_Jewelry_Smart Bidding 4
10,https://www.overstock.com/search?keywords=&taxonomy=cat2350&searchtype=guidedNav&additionalKeywords=white+gold,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065650230&ds_s_kwgid=58700002556566914""}",Experiment_Jewelry_Smart Bidding 4
11,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=beads,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063504245&ds_s_kwgid=58700002556580909""}",Experiment_Jewelry_Smart Bidding 4
12,"https://www.overstock.com/Jewelry-Watches/Necklaces/Jade,Pendant,/gemstone,necklace-type,/2357/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063504236&ds_s_kwgid=58700002556580906""}",Experiment_Jewelry_Smart Bidding 4
13,"https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/Jewelry-Box,/type,/3430/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064849738&ds_s_kwgid=58700002558719872""}",Experiment_Jewelry_Smart Bidding 4
14,"https://www.overstock.com/Jewelry-Watches/Watches/Vintage,/type,/292/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064712785&ds_s_kwgid=58700002556554680""}",Experiment_Jewelry_Smart Bidding 4
15,https://www.overstock.com/Jewelry-Watches/Bracelets/2350/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065665668&ds_s_kwgid=58700002556571423""}",Experiment_Jewelry_Smart Bidding 4
16,https://www.overstock.com/search?keywords=&taxonomy=dep292&refinematerial=Sterling+Silver&searchtype=guidedNav&additionalKeywords=sterling,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065655450&ds_s_kwgid=58700002558711574""}",Experiment_Jewelry_Smart Bidding 4
17,https://www.overstock.com/Jewelry-Watches/Jewelry/13/dept.html,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063478262&ds_s_kwgid=58700002556570379""}",Experiment_Jewelry_Smart Bidding 4
18,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=cross,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064714492&ds_s_kwgid=58700002558698458""}",Experiment_Jewelry_Smart Bidding 4
19,https://www.overstock.com/search?keywords=&taxonomy=dep13&refinestone=Glass&searchtype=guidedNav&additionalKeywords=glass,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063490265&ds_s_kwgid=58700002556575959""}",Experiment_Jewelry_Smart Bidding 4
20,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=animal,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063411470&ds_s_kwgid=58700002557773578""}",Experiment_Jewelry_Smart Bidding 4
21,https://www.overstock.com/search?keywords=&additionalKeywords=lockets&taxonomy=sub14585&sortOption=Relevance&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064802914&ds_s_kwgid=58700002557779158""}",Experiment_Jewelry_Smart Bidding 4
22,https://www.overstock.com/Jewelry-Watches/Mens-Watches/3434/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064830199&ds_s_kwgid=58700002558713689""}",Experiment_Jewelry_Smart Bidding 4
23,"https://www.overstock.com/Jewelry-Watches/Necklaces/Chain,Platinum-Overlay~Platinum-over-Silver,/necklace-type,metal,/2357/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063502988&ds_s_kwgid=58700002558722875""}",Experiment_Jewelry_Smart Bidding 4
24,https://www.overstock.com/Jewelry-Watches/Engagement-Rings/14657/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065695044&ds_s_kwgid=58700002558722893""}",Experiment_Jewelry_Smart Bidding 4
25,https://www.overstock.com/search?keywords=&taxonomy=cat2350&searchtype=guidedNav&additionalKeywords=white+gold,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065650224&ds_s_kwgid=58700002556566914""}",Experiment_Jewelry_Smart Bidding 4
26,https://www.overstock.com/Jewelry-Watches/Jewelry/13/dept.html,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063478259&ds_s_kwgid=58700002556570379""}",Experiment_Jewelry_Smart Bidding 4
27,https://www.overstock.com/Jewelry-Watches/Jewelry/13/dept.html?TID=TN:JW:JW,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064712173&ds_s_kwgid=58700002557773512""}",Experiment_Jewelry_Smart Bidding 4
28,"https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/Wood,/material,/3430/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064659499&ds_s_kwgid=58700002556549517""}",Experiment_Jewelry_Smart Bidding 4
29,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=threader,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063462632&ds_s_kwgid=58700002558711616""}",Experiment_Jewelry_Smart Bidding 4
30,https://www.overstock.com/search?keywords=&taxonomy=sub14558&searchtype=guidedNav&additionalKeywords=skull,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065618031&ds_s_kwgid=58700002557778402""}",Experiment_Jewelry_Smart Bidding 4
31,"https://www.overstock.com/Jewelry-Watches/Jewelry/Amethyst,amethyst,/gemstone,k,/13/dept.html?searchtype=guidedNav","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063478238&ds_s_kwgid=58700002558713986""}",Experiment_Jewelry_Smart Bidding 4
32,https://www.overstock.com/search?keywords=green&taxonomy=cat2353&refinegemstone+color=Green&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064735459&ds_s_kwgid=58700002556558754""}",Experiment_Jewelry_Smart Bidding 4
33,"https://www.overstock.com/Jewelry-Watches/Earrings/Hoop,/style,/2353/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065644914&ds_s_kwgid=58700002558708937""}",Experiment_Jewelry_Smart Bidding 4
34,"https://www.overstock.com/Jewelry-Watches/Necklaces/Chain,Gold,/necklace-type,metal,/2357/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064822003&ds_s_kwgid=58700002558710440""}",Experiment_Jewelry_Smart Bidding 4
35,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=bamboo,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063410861&ds_s_kwgid=58700002558698524""}",Experiment_Jewelry_Smart Bidding 4
36,https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/3430/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064800793&ds_s_kwgid=58700002557778384""}",Experiment_Jewelry_Smart Bidding 4
37,"https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/Jewelry-Box,Black,/type,color,/3430/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064802137&ds_s_kwgid=58700002557779140""}",Experiment_Jewelry_Smart Bidding 4
38,"https://www.overstock.com/Jewelry-Watches/Jewelry-Boxes/Jewelry-Box,/type,/3430/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065659722&ds_s_kwgid=58700002556568897""}",Experiment_Jewelry_Smart Bidding 4
39,"https://www.overstock.com/Jewelry-Watches/Jewelry/Aquamarine,/gemstone,/13/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063410087&ds_s_kwgid=58700002558698512""}",Experiment_Jewelry_Smart Bidding 4
40,https://www.overstock.com/search?keywords=chokers,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065484027&ds_s_kwgid=58700002556549559""}",Experiment_Jewelry_Smart Bidding 4
41,"https://www.overstock.com/Jewelry-Watches/Anklets/Silver,/color,/17536/subcat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064841125&ds_s_kwgid=58700002556577945""}",Experiment_Jewelry_Smart Bidding 4
42,"https://www.overstock.com/Jewelry-Watches/Rings/Sapphire,White-Gold,/gemstone,metal,/2360/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063510230&ds_s_kwgid=58700002558724285""}",Experiment_Jewelry_Smart Bidding 4
43,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=flower,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065632098&ds_s_kwgid=58700002556562813""}",Experiment_Jewelry_Smart Bidding 4
44,"https://www.overstock.com/Jewelry-Watches/Jewelry/Black-Hills-Gold,/brand,/13/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065634702&ds_s_kwgid=58700002558705646""}",Experiment_Jewelry_Smart Bidding 4
45,https://www.overstock.com/search?keywords=garnet&taxonomy=cat2350&refinegemstone=Garnet&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022064841638&ds_s_kwgid=58700002558717124""}",Experiment_Jewelry_Smart Bidding 4
46,"https://www.overstock.com/Jewelry-Watches/Earrings/Citrine,/gemstone,/2353/cat.html","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065604531&ds_s_kwgid=58700002557778234""}",Experiment_Jewelry_Smart Bidding 4
47,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=bamboo,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063410858&ds_s_kwgid=58700002558698524""}",Experiment_Jewelry_Smart Bidding 4
48,https://www.overstock.com/Jewelry-Watches/Sterling-Silver-Earrings/14514/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022063479225&ds_s_kwgid=58700002556570415""}",Experiment_Jewelry_Smart Bidding 4
49,https://www.overstock.com/search?keywords=&taxonomy=cat2361&searchtype=guidedNav&additionalKeywords=band,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700022065660490&ds_s_kwgid=58700002558713653""}",Experiment_Jewelry_Smart Bidding 4
