,FinalURL,CustomParameter,Identifier
0,https://www.overstock.com/Bedding-Bath/Bath-Towels/450/dept.html?,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219119063&ds_s_kwgid=58700000725349853""}",Generic_Standard_Bath
1,https://www.overstock.com/Bedding-Bath/Bath-Sheets/27833/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219105086&ds_s_kwgid=58700000727161525""}",Generic_Standard_Bath
2,https://www.overstock.com/search?keywords=bathrobes&SearchType=Header&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215325418&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
3,https://www.overstock.com/Bedding-Bath/Bath-Rugs-Mats/4527/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222986298&ds_s_kwgid=58700000724677818""}",Generic_Standard_Bath
4,https://www.overstock.com/Health-Beauty/Bath-Shower/3233/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219119048&ds_s_kwgid=58700000725349850""}",Generic_Standard_Bath
5,https://www.overstock.com/Bedding-Bath/Bath-Accessories/4525/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219100781&ds_s_kwgid=58700000727161492""}",Generic_Standard_Bath
6,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215325835&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
7,https://www.overstock.com/search?keywords=towel+hooks&taxonomy=dep36&searchtype=Header&fp=f&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219101924&ds_s_kwgid=58700000725352355""}",Generic_Standard_Bath
8,https://www.overstock.com/Bedding-Bath/Wastebaskets/27826/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215332060&ds_s_kwgid=58700000724677827""}",Generic_Standard_Bath
9,https://www.overstock.com/search?keywords=undermount+kitchen+sinks+&SearchType=Header&fp=f&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215335606&ds_s_kwgid=58700000724681370""}",Generic_Standard_Bath
10,https://www.overstock.com/Bedding-Bath/Beach-Towels/27834/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219111152&ds_s_kwgid=58700000725349838""}",Generic_Standard_Bath
11,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222997263&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
12,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222976062&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
13,https://www.overstock.com/search?keywords=shower+stool&sortOption=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215307088&ds_s_kwgid=58700000724679042""}",Generic_Standard_Bath
14,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222976110&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
15,https://www.overstock.com/search?keywords=shower+stool&sortOption=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215307091&ds_s_kwgid=58700000724679042""}",Generic_Standard_Bath
16,https://www.overstock.com/Bedding-Bath/Bath-Towels/450/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331907&ds_s_kwgid=58700000724681355""}",Generic_Standard_Bath
17,https://www.overstock.com/search?keywords=towel+hooks&taxonomy=dep36&searchtype=Header&fp=f&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219101942&ds_s_kwgid=58700000725352355""}",Generic_Standard_Bath
18,https://www.overstock.com/search?keywords=toilet+seats+&SearchType=Header&fp=f&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215335627&ds_s_kwgid=58700000724681370""}",Generic_Standard_Bath
19,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215332249&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
20,https://www.overstock.com/Bedding-Bath/Bath-Towels/450/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219105011&ds_s_kwgid=58700000727161513""}",Generic_Standard_Bath
21,https://www.overstock.com/Bedding-Bath/Wastebaskets/27826/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331943&ds_s_kwgid=58700000724677827""}",Generic_Standard_Bath
22,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215332258&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
23,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222979671&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
24,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222979962&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
25,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219102104&ds_s_kwgid=58700000725352382""}",Generic_Standard_Bath
26,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215305699&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
27,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215325463&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
28,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331268&ds_s_kwgid=58700000724681352""}",Generic_Standard_Bath
29,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215306107&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
30,https://www.overstock.com/Bedding-Bath/Bath-Accessories/4525/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219098543&ds_s_kwgid=58700000727161492""}",Generic_Standard_Bath
31,https://www.overstock.com/Bedding-Bath/Towels/4529/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215306173&ds_s_kwgid=58700000725352385""}",Generic_Standard_Bath
32,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331289&ds_s_kwgid=58700000724681352""}",Generic_Standard_Bath
33,https://www.overstock.com/Bedding-Bath/Beach-Towels/27834/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222980343&ds_s_kwgid=58700000725349838""}",Generic_Standard_Bath
34,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331355&ds_s_kwgid=58700000724681352""}",Generic_Standard_Bath
35,https://www.overstock.com/search?keywords=mens+robes&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331358&ds_s_kwgid=58700000724681352""}",Generic_Standard_Bath
36,https://www.overstock.com/Bedding-Bath/Bath-Towels/450/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008219105032&ds_s_kwgid=58700000727161513""}",Generic_Standard_Bath
37,https://www.overstock.com/search?keywords=mens+robes&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215331367&ds_s_kwgid=58700000724681352""}",Generic_Standard_Bath
38,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330023&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
39,https://www.overstock.com/search?keywords=wood+toilet+seats+&SearchType=Header&fp=f&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215335600&ds_s_kwgid=58700000724681370""}",Generic_Standard_Bath
40,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330143&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
41,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330149&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
42,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330152&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
43,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330161&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
44,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330191&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
45,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330200&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
46,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330239&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
47,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330263&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
48,https://www.overstock.com/Bedding-Bath/Beach-Towels/27834/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008222981759&ds_s_kwgid=58700000725349838""}",Generic_Standard_Bath
49,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330425&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
50,https://www.overstock.com/Bedding-Bath/Bath-Robes/4526/cat.html?sort=Top+Sellers&,"{""cidmapping"":""128507"",""dssagcrid"":""lid=43700008215330440&ds_s_kwgid=58700000724677830""}",Generic_Standard_Bath
