,FinalURL,CustomParameter,Identifier
0,"https://www.overstock.com/Electronics/Televisions/Sony,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864275&ds_s_kwgid=58700000725292619"",""mkwid"":""195886737380674""}",Generic_Standard_Electronics
1,"https://www.overstock.com/Electronics/Televisions/LG,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220863207&ds_s_kwgid=58700000724598066"",""mkwid"":""16775316692146""}",Generic_Standard_Electronics
2,https://www.overstock.com/search?keywords=kyocera+hydro+battery&,"{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864509&ds_s_kwgid=58700000725292625"",""mkwid"":""251883512014292""}",Generic_Standard_Electronics
3,"https://www.overstock.com/Electronics/Televisions/Sony,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864161&ds_s_kwgid=58700000725292619"",""mkwid"":""235087713847427""}",Generic_Standard_Electronics
4,"https://www.overstock.com/Electronics/Televisions/Sony,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008213214789&ds_s_kwgid=58700000725293228"",""mkwid"":""103318165104243""}",Generic_Standard_Electronics
5,"https://www.overstock.com/Electronics/Televisions/Sharp,(1000,),70,/brand,price,screen-size,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220863453&ds_s_kwgid=58700000724598069"",""mkwid"":""221907010326134""}",Generic_Standard_Electronics
6,"https://www.overstock.com/Electronics/Televisions/LG,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220863273&ds_s_kwgid=58700000724598066"",""mkwid"":""108203559746330""}",Generic_Standard_Electronics
7,"https://www.overstock.com/Electronics/Televisions/Sharp,(1000,),70,/brand,price,screen-size,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220863432&ds_s_kwgid=58700000724598069"",""mkwid"":""194818927668351""}",Generic_Standard_Electronics
8,"http://www.overstock.com/Electronics/Televisions/Sharp,(1000,),80,/brand,price,screen-size,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864023&ds_s_kwgid=58700000725292616"",""mkwid"":""227464752079000""}",Generic_Standard_Electronics
9,"http://www.overstock.com/Electronics/Televisions/Sharp,(1000,),80,/brand,price,screen-size,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864044&ds_s_kwgid=58700000725292616"",""mkwid"":""47770747300203""}",Generic_Standard_Electronics
10,"https://www.overstock.com/Electronics/Televisions/Sharp,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008213217282&ds_s_kwgid=58700000725293237"",""mkwid"":""144472557954526""}",Generic_Standard_Electronics
11,"https://www.overstock.com/Electronics/Televisions/LG,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220863318&ds_s_kwgid=58700000724598066"",""mkwid"":""199964574113765""}",Generic_Standard_Electronics
12,https://www.overstock.com/search?keywords=mini+usb+to+usb&,"{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008220864998&ds_s_kwgid=58700000725292652"",""mkwid"":""55934321764130""}",Generic_Standard_Electronics
13,"https://www.overstock.com/Electronics/Televisions/Sony,(1000,),/brand,price,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008213214774&ds_s_kwgid=58700000725293228"",""mkwid"":""7290762262553""}",Generic_Standard_Electronics
14,"https://www.overstock.com/Electronics/Televisions/LG,(1000,),60-Inches-_and-Over,/brand,price,screen-size,/2171/cat.html?sort=Top+Sellers&","{""cidmapping"":""128554"",""dssagcrid"":""lid=43700008213214936&ds_s_kwgid=58700000725293231"",""mkwid"":""4238840628871""}",Generic_Standard_Electronics
