,FinalURL,CustomParameter,Identifier
0,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746100&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
1,https://www.overstock.com/Clothing-Shoes/Clutches-Evening-Bags/5636/subcat.html?,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218735192&ds_s_kwgid=58700000725315830""}",Generic_Standard_Handbags
2,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983259&ds_s_kwgid=58700000725323057"",""mkwid"":""9554001448486""}",Generic_Standard_Handbags
3,"http://www.overstock.com/Clothing-Shoes/Handbags/Rioni,/brand,/111/dept.html?","{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008222618036&ds_s_kwgid=58700000727124379"",""mkwid"":""9554001448483""}",Generic_Standard_Handbags
4,"http://www.overstock.com/Clothing-Shoes/Handbags/Fendi,/brand,/111/dept.html?sort=Top+Sellers&","{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008222617049&ds_s_kwgid=58700000725323078"",""mkwid"":""47598782""}",Generic_Standard_Handbags
5,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746346&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
6,http://www.overstock.com/search?keywords=&additionalKeywords=coach&taxonomy=dep111&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983169&ds_s_kwgid=58700000725323054"",""mkwid"":""41565174""}",Generic_Standard_Handbags
7,https://www.overstock.com/Clothing-Shoes/Clutches-Evening-Bags/5636/subcat.html?,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218735207&ds_s_kwgid=58700000725315830""}",Generic_Standard_Handbags
8,http://www.overstock.com/search?keywords=&additionalKeywords=coach&taxonomy=dep111&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983160&ds_s_kwgid=58700000725323054"",""mkwid"":""41565134""}",Generic_Standard_Handbags
9,https://www.overstock.com/Clothing-Shoes/Clutches-Evening-Bags/5636/subcat.html?,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218735243&ds_s_kwgid=58700000725315830""}",Generic_Standard_Handbags
10,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746217&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
11,http://www.overstock.com/search?keywords=&additionalKeywords=coach&taxonomy=dep111&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983079&ds_s_kwgid=58700000725323054"",""mkwid"":""41565142""}",Generic_Standard_Handbags
12,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746103&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
13,"http://www.overstock.com/Clothing-Shoes/Handbags/Fendi,/brand,/111/dept.html?sort=Top+Sellers&","{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008222617079&ds_s_kwgid=58700000725323078"",""mkwid"":""47598824""}",Generic_Standard_Handbags
14,"http://www.overstock.com/Clothing-Shoes/Shoulder-Bags/Chinese-Laundry,/brand,/5761/subcat.html?","{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008222617319&ds_s_kwgid=58700000727124355"",""mkwid"":""10003632994""}",Generic_Standard_Handbags
15,https://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746154&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
16,https://www.overstock.com/Clothing-Shoes/Clutches-Evening-Bags/5636/subcat.html?,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218735255&ds_s_kwgid=58700000725315830""}",Generic_Standard_Handbags
17,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746289&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
18,https://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746007&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
19,http://www.overstock.com/search?keywords=&additionalKeywords=coach&taxonomy=dep111&sortOption=Top+Sellers&TID=SORT:Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983103&ds_s_kwgid=58700000725323054"",""mkwid"":""41565146""}",Generic_Standard_Handbags
20,"http://www.overstock.com/Clothing-Shoes/Handbags/Fendi,/brand,/111/dept.html?sort=Top+Sellers&","{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008214983823&ds_s_kwgid=58700000725323078"",""mkwid"":""47598758""}",Generic_Standard_Handbags
21,http://www.overstock.com/Clothing-Shoes/Handbags/111/dept.html?sort=Top+Sellers&,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218746397&ds_s_kwgid=58700000725315833""}",Generic_Standard_Handbags
22,https://www.overstock.com/Clothing-Shoes/Clutches-Evening-Bags/5636/subcat.html?,"{""cidmapping"":""128503"",""dssagcrid"":""lid=43700008218735180&ds_s_kwgid=58700000725315830""}",Generic_Standard_Handbags
