,FinalURL,CustomParameter,Identifier
0,https://www.overstock.com/Luggage-Bags/Luggage/30/dept.html?,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215060230&ds_s_kwgid=58700000725334739"",""mkwid"":""34571975428361""}",Generic_Standard_Luggage
1,"https://www.overstock.com/Luggage-Bags/Travel-Accessories/Toiletry-Bags,/type,/277/dept.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222716136&ds_s_kwgid=58700000727136292"",""mkwid"":""164160756474512""}",Generic_Standard_Luggage
2,https://www.overstock.com/Luggage-Bags/Luggage/30/dept.html?,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215060134&ds_s_kwgid=58700000725334739"",""mkwid"":""140325292278184""}",Generic_Standard_Luggage
3,"https://www.overstock.com/Luggage-Bags/Travel-Accessories/Toiletry-Bags,/type,/277/dept.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222739500&ds_s_kwgid=58700000724656743""}",Generic_Standard_Luggage
4,https://www.overstock.com/Luggage-Bags/Luggage/30/dept.html?,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215060290&ds_s_kwgid=58700000725334739"",""mkwid"":""188773869365701""}",Generic_Standard_Luggage
5,"https://www.overstock.com/Luggage-Bags/Heys,/brand,/33/store.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215068747&ds_s_kwgid=58700000724654865""}",Generic_Standard_Luggage
6,"https://www.overstock.com/Luggage-Bags/Wenger~SwissGear,/brand,/33/store.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222741585&ds_s_kwgid=58700000725327878"",""mkwid"":""45469856""}",Generic_Standard_Luggage
7,"https://www.overstock.com/Luggage-Bags/Travel-Accessories/Toiletry-Bags,/type,/277/dept.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222716100&ds_s_kwgid=58700000727136292"",""mkwid"":""10003634180""}",Generic_Standard_Luggage
8,"https://www.overstock.com/Luggage-Bags/Duffel-Bags/Rolling,/feature,/695/cat.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222739965&ds_s_kwgid=58700000725327854""}",Generic_Standard_Luggage
9,"https://www.overstock.com/Luggage-Bags/Carry-On-Luggage/CalPak,/brand,/694/cat.html?sort=Top+Sellers&","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222710703&ds_s_kwgid=58700000725327812""}",Generic_Standard_Luggage
10,"https://www.overstock.com/Luggage-Bags/Anne-Klein~Beverly-Hills-Country-Club~Delsey~Nautica~Nine-West~Olympia~SwissGear~Traveler_s-Choice~US-Traveler~Victorinox~World-Traveler~Timbuk2,/brand,/33/store.html?products=10038896&","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215051314&ds_s_kwgid=58700000724646570""}",Generic_Standard_Luggage
11,http://www.overstock.com/search?SearchType=K&keywords=Korchmar&fp=f&,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222731556&ds_s_kwgid=58700000724644086"",""mkwid"":""5845210826066""}",Generic_Standard_Luggage
12,https://www.overstock.com/Luggage-Bags/Luggage/30/dept.html?,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008218833403&ds_s_kwgid=58700000727128924"",""mkwid"":""28415099526321""}",Generic_Standard_Luggage
13,"https://www.overstock.com/Luggage-Bags/Olympia,/brand,/33/store.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215052706&ds_s_kwgid=58700000725328301""}",Generic_Standard_Luggage
14,http://www.overstock.com/search?SearchType=K&keywords=Hartmann&taxonomy=sto33&additionalKeywords=Stratum&fp=f&,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222732237&ds_s_kwgid=58700000724650878"",""mkwid"":""152361360816912""}",Generic_Standard_Luggage
15,"https://www.overstock.com/Luggage-Bags/Duffel-Bags/Rolling,/feature,/695/cat.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008222740076&ds_s_kwgid=58700000725327854""}",Generic_Standard_Luggage
16,http://www.overstock.com/search?SearchType=K&keywords=Korchmar&additionalKeywords=Reserve&fp=f&,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008218835239&ds_s_kwgid=58700000725334553"",""mkwid"":""164528550928261""}",Generic_Standard_Luggage
17,"https://www.overstock.com/Luggage-Bags/Messenger-Bags/Leather,/material,/3090/cat.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008218832320&ds_s_kwgid=58700000727126992""}",Generic_Standard_Luggage
18,"https://www.overstock.com/Luggage-Bags/Garment-Bags/Rolling,/type,/3101/cat.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215059795&ds_s_kwgid=58700000725334724""}",Generic_Standard_Luggage
19,http://www.overstock.com/Luggage-Bags/Coleman-Lightweight-Rolling-Drop-bottom-Duffel-Bag/2677679/product.html?fp=f&,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215079619&ds_s_kwgid=58700000725334760"",""mkwid"":""187512065426622""}",Generic_Standard_Luggage
20,"https://www.overstock.com/Luggage-Bags/Kenneth-Cole-Reaction,/brand,/33/store.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215051470&ds_s_kwgid=58700000724646579""}",Generic_Standard_Luggage
21,https://www.overstock.com/Luggage-Bags/Luggage/30/dept.html?,"{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008215060218&ds_s_kwgid=58700000725334739"",""mkwid"":""45468658""}",Generic_Standard_Luggage
22,"https://www.overstock.com/Luggage-Bags/Duffel-Bags/Rolling,/feature,/695/cat.html?","{""cidmapping"":""128502"",""dssagcrid"":""lid=43700008218842103&ds_s_kwgid=58700000724656764""}",Generic_Standard_Luggage
