,FinalURL,CustomParameter,Identifier
0,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125429&ds_s_kwgid=58700000724660217"",""mkwid"":""153374648906205""}",Generic_Standard_Pets
1,https://www.overstock.com/Pet-Supplies/Pet-Carriers-Travel/324/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218899400&ds_s_kwgid=58700000724660211"",""mkwid"":""144221952529396""}",Generic_Standard_Pets
2,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215127049&ds_s_kwgid=58700000725336224"",""mkwid"":""9561001055841""}",Generic_Standard_Pets
3,https://www.overstock.com/Pet-Supplies/Bird-Supplies/311/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218908262&ds_s_kwgid=58700000725334889"",""mkwid"":""9561001056018""}",Generic_Standard_Pets
4,https://www.overstock.com/Pet-Supplies/Crates-Kennels/314/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218908553&ds_s_kwgid=58700000725336821"",""mkwid"":""106038337478369""}",Generic_Standard_Pets
5,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125435&ds_s_kwgid=58700000724660217"",""mkwid"":""60575939""}",Generic_Standard_Pets
6,https://www.overstock.com/Pet-Supplies/Pet-Carriers-Travel/324/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215124892&ds_s_kwgid=58700000724660211"",""mkwid"":""41401517536032""}",Generic_Standard_Pets
7,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125459&ds_s_kwgid=58700000724660217"",""mkwid"":""178225825981666""}",Generic_Standard_Pets
8,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218883101&ds_s_kwgid=58700000725336224"",""mkwid"":""9561001176205""}",Generic_Standard_Pets
9,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218883125&ds_s_kwgid=58700000725336224"",""mkwid"":""86261194098447""}",Generic_Standard_Pets
10,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125471&ds_s_kwgid=58700000724660217"",""mkwid"":""68906735568667""}",Generic_Standard_Pets
11,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218883140&ds_s_kwgid=58700000725336224"",""mkwid"":""169057556838215""}",Generic_Standard_Pets
12,https://www.overstock.com/Pet-Supplies/Bird-Supplies/311/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218908079&ds_s_kwgid=58700000725334889"",""mkwid"":""47934759612892""}",Generic_Standard_Pets
13,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125750&ds_s_kwgid=58700000724660217"",""mkwid"":""9561001176204""}",Generic_Standard_Pets
14,https://www.overstock.com/Pet-Supplies/Crates-Kennels/314/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218908865&ds_s_kwgid=58700000725336821"",""mkwid"":""40175731596529""}",Generic_Standard_Pets
15,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218882954&ds_s_kwgid=58700000725336224"",""mkwid"":""9561001080026""}",Generic_Standard_Pets
16,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125405&ds_s_kwgid=58700000724660217"",""mkwid"":""59690699608813""}",Generic_Standard_Pets
17,https://www.overstock.com/Pet-Supplies/Bird-Supplies/311/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218908061&ds_s_kwgid=58700000725334889"",""mkwid"":""9561001080138""}",Generic_Standard_Pets
18,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125513&ds_s_kwgid=58700000724660217"",""mkwid"":""9561001055840""}",Generic_Standard_Pets
19,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008218883221&ds_s_kwgid=58700000725336224"",""mkwid"":""9561001079045""}",Generic_Standard_Pets
20,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125669&ds_s_kwgid=58700000724660217"",""mkwid"":""9561001080164""}",Generic_Standard_Pets
21,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125834&ds_s_kwgid=58700000724660217"",""mkwid"":""114064165924153""}",Generic_Standard_Pets
22,https://www.overstock.com/Pet-Supplies/Cat-Supplies/312/dept.html?sort=Top+Sellers&,"{""cidmapping"":""139789"",""dssagcrid"":""lid=43700008215125876&ds_s_kwgid=58700000724660217"",""mkwid"":""9561001080008""}",Generic_Standard_Pets
