,FinalURL,CustomParameter,Identifier
0,https://www.overstock.com/Home-Garden/Patio-Furniture/714/cat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793275&ds_s_kwgid=58700001505819023""}",Head Terms
1,https://www.overstock.com/Home-Garden/Recliners/18555/subcat.html?keywords=recliner&searchtype=Header&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066143&ds_s_kwgid=58700001505819065""}",Head Terms
2,"https://www.overstock.com/search?keywords=wicker+patio+furniture&taxonomy=sto1&ralt=sto40,sto45,sto6&TID=AR:TRUE&searchtype=Header&","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066296&ds_s_kwgid=58700001505819221""}",Head Terms
3,"https://www.overstock.com/Home-Garden/Coffee-Sofa-End-Tables/Round,/shape,/2030/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066152&ds_s_kwgid=58700001505819074""}",Head Terms
4,https://www.overstock.com/search?keywords=&taxonomy=sub2009&searchtype=guidedNav&additionalKeywords=full+length&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066068&ds_s_kwgid=58700001505655292""}",Head Terms
5,https://www.overstock.com/search?keywords=&taxonomy=cat244&refinepattern=Animal&searchtype=guidedNav&additionalKeywords=cowhide&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065999&ds_s_kwgid=58700001505655223""}",Head Terms
6,https://www.overstock.com/Home-Garden/Futons/2026/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066080&ds_s_kwgid=58700001505655304""}",Head Terms
7,https://www.overstock.com/Home-Garden/Floor-Lamps/33/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012155536240&ds_s_kwgid=58700001490015350""}",Head Terms
8,"https://www.overstock.com/Home-Garden/Beds/California-King,/size,/2013/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065924&ds_s_kwgid=58700001505816083""}",Head Terms
9,https://www.overstock.com/Home-Garden/Patio-Umbrellas/22410/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793290&ds_s_kwgid=58700001505819038""}",Head Terms
10,"http://www.overstock.com/Home-Garden/Futons/Mattress,/type,/2026/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066095&ds_s_kwgid=58700001505655319""}",Head Terms
11,"http://www.overstock.com/Home-Garden/Dressers/White-Finish,/finish,/2017/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066290&ds_s_kwgid=58700001505819215""}",Head Terms
12,https://www.overstock.com/Home-Garden/Kids-Furniture/1455/cat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066134&ds_s_kwgid=58700001505655358""}",Head Terms
13,"http://www.overstock.com/Home-Garden/Beds/Bunk-Bed,(,300),/bed-style,price,/2013/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065954&ds_s_kwgid=58700001505816113""}",Head Terms
14,http://www.overstock.com/Office-Supplies/Computer-Desks/22542/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793248&ds_s_kwgid=58700001505818996""}",Head Terms
15,http://www.overstock.com/Bedding-Bath/Kids-Teen-Bedding/455/dept.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066131&ds_s_kwgid=58700001505655355""}",Head Terms
16,http://www.overstock.com/Bedding-Bath/Luxury-Bedding-Bath/10000/dept.html?products=11405277&TID=L2FB_LuxuryBedding&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012144873540&ds_s_kwgid=58700001491556845""}",Head Terms
17,http://www.overstock.com/Bedding-Bath/Shower-Curtains/7239/subcat.html?searchtype=Header&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066188&ds_s_kwgid=58700001505819110""}",Head Terms
18,https://www.overstock.com/Home-Garden/Furniture/32/dept.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012144873516&ds_s_kwgid=58700001491556821""}",Head Terms
19,"http://www.overstock.com/Home-Garden/Furniture/Shabby-Chic,/style,/32/dept.html?TID=CMS:dep32:1988::refinements-5-10:&","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012144873528&ds_s_kwgid=58700001491556833""}",Head Terms
20,"http://www.overstock.com/Home-Garden/Desks/Corner-Desks,/desk-type,/2025/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065993&ds_s_kwgid=58700001505655217""}",Head Terms
21,"http://www.overstock.com/Home-Garden/HammocksSwings/Hammocks,/type,/2032/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066119&ds_s_kwgid=58700001505655343""}",Head Terms
22,"http://www.overstock.com/Home-Garden/HammocksSwings/Hammocks,/type,/2032/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066113&ds_s_kwgid=58700001505655337""}",Head Terms
23,http://www.overstock.com/Baby/Bedding-Sets/3169/cat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066002&ds_s_kwgid=58700001505655226""}",Head Terms
24,"http://www.overstock.com/Home-Garden/Throw-Pillows/(,30),/price,/2011/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065966&ds_s_kwgid=58700001505655190""}",Head Terms
25,"http://www.overstock.com/search?keywords=reclining+sofa&taxonomy=sto1&ralt=sto39,sto5,sto6&TID=AR:TRUE&searchtype=Header&","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066149&ds_s_kwgid=58700001505819071""}",Head Terms
26,"http://www.overstock.com/search?keywords=teen+bedding&taxonomy=sto43&ralt=sto1,sto5,sto35&TID=AR:TRUE&searchtype=Header&","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066224&ds_s_kwgid=58700001505819146""}",Head Terms
27,http://www.overstock.com/Home-Garden/Sheer-Curtains/6422/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066182&ds_s_kwgid=58700001505819104""}",Head Terms
28,http://www.overstock.com/Home-Garden/Outdoor-Window-Treatments/27934/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793257&ds_s_kwgid=58700001505819005""}",Head Terms
29,http://www.overstock.com/Home-Garden/Sectional-Sofas/18553/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066170&ds_s_kwgid=58700001505819092""}",Head Terms
30,http://www.overstock.com/Home-Garden/Futons/2026/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066101&ds_s_kwgid=58700001505655325""}",Head Terms
31,"http://www.overstock.com/Home-Garden/Living-Room-Chairs/Recliners,/chair-type,/2737/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012144873525&ds_s_kwgid=58700001491556830""}",Head Terms
32,"http://www.overstock.com/Home-Garden/Beds/Queen,/size,/2013/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793308&ds_s_kwgid=58700001505819056""}",Head Terms
33,http://www.overstock.com/Home-Garden/Desk-Lamps/27516/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066026&ds_s_kwgid=58700001505655250""}",Head Terms
34,"https://www.overstock.com/Home-Garden/Coffee-Sofa-End-Tables/End-Tables,/type,/2030/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066194&ds_s_kwgid=58700001505819116""}",Head Terms
35,http://www.overstock.com/Home-Garden/Bedroom-Sets/17329/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793242&ds_s_kwgid=58700001505818990""}",Head Terms
