,FinalURL,CustomParameter,Identifier
0,"http://www.overstock.com/Emergency-Preparedness/freeze-dried,Augason-Farms,/k,brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034651&ds_s_kwgid=58700000724600199"",""mkwid"":""213460475627422""}",Standard_Emergency Prepardness
1,"http://www.overstock.com/Emergency-Preparedness/freeze-dried,Augason-Farms,/k,brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034648&ds_s_kwgid=58700000724600199"",""mkwid"":""265060261384388""}",Standard_Emergency Prepardness
2,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034561&ds_s_kwgid=58700000724600190"",""mkwid"":""124681203274455""}",Standard_Emergency Prepardness
3,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034594&ds_s_kwgid=58700000724600190"",""mkwid"":""137436307175607""}",Standard_Emergency Prepardness
4,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034600&ds_s_kwgid=58700000724600190"",""mkwid"":""64129252040432""}",Standard_Emergency Prepardness
5,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034618&ds_s_kwgid=58700000724600193"",""mkwid"":""28891302506005""}",Standard_Emergency Prepardness
6,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034513&ds_s_kwgid=58700000724600187"",""mkwid"":""177851348409457""}",Standard_Emergency Prepardness
7,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034486&ds_s_kwgid=58700000724600187"",""mkwid"":""161567194445197""}",Standard_Emergency Prepardness
8,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034504&ds_s_kwgid=58700000724600187"",""mkwid"":""211768143900088""}",Standard_Emergency Prepardness
9,"http://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034576&ds_s_kwgid=58700000724600190"",""mkwid"":""17387547967563""}",Standard_Emergency Prepardness
10,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034546&ds_s_kwgid=58700000724600187"",""mkwid"":""257042406234522""}",Standard_Emergency Prepardness
11,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034495&ds_s_kwgid=58700000724600187"",""mkwid"":""268212253453429""}",Standard_Emergency Prepardness
12,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034555&ds_s_kwgid=58700000724600187"",""mkwid"":""184158105539965""}",Standard_Emergency Prepardness
13,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034540&ds_s_kwgid=58700000724600187"",""mkwid"":""157579605424642""}",Standard_Emergency Prepardness
14,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034483&ds_s_kwgid=58700000724600187"",""mkwid"":""274850713600311""}",Standard_Emergency Prepardness
15,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034591&ds_s_kwgid=58700000724600190"",""mkwid"":""283774177557747""}",Standard_Emergency Prepardness
16,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034645&ds_s_kwgid=58700000724600196"",""mkwid"":""81661727216961""}",Standard_Emergency Prepardness
17,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034603&ds_s_kwgid=58700000724600190"",""mkwid"":""206911933591011""}",Standard_Emergency Prepardness
18,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034606&ds_s_kwgid=58700000724600190"",""mkwid"":""265763442675933""}",Standard_Emergency Prepardness
19,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034570&ds_s_kwgid=58700000724600190"",""mkwid"":""228836595724536""}",Standard_Emergency Prepardness
20,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034621&ds_s_kwgid=58700000724600193"",""mkwid"":""201024703505105""}",Standard_Emergency Prepardness
21,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034549&ds_s_kwgid=58700000724600187"",""mkwid"":""200201822402706""}",Standard_Emergency Prepardness
22,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034525&ds_s_kwgid=58700000724600187"",""mkwid"":""183290996204031""}",Standard_Emergency Prepardness
23,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034510&ds_s_kwgid=58700000724600187"",""mkwid"":""214116219075860""}",Standard_Emergency Prepardness
24,"http://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034582&ds_s_kwgid=58700000724600190"",""mkwid"":""277341233581213""}",Standard_Emergency Prepardness
25,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034639&ds_s_kwgid=58700000724600193"",""mkwid"":""107868991328822""}",Standard_Emergency Prepardness
26,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034522&ds_s_kwgid=58700000724600187"",""mkwid"":""277792095350224""}",Standard_Emergency Prepardness
27,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034507&ds_s_kwgid=58700000724600187"",""mkwid"":""23228163425582""}",Standard_Emergency Prepardness
28,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034636&ds_s_kwgid=58700000724600193"",""mkwid"":""211200668195984""}",Standard_Emergency Prepardness
29,"http://www.overstock.com/Emergency-Preparedness/Wise-Company,/brand,/42/store.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034516&ds_s_kwgid=58700000724600187"",""mkwid"":""194985217188511""}",Standard_Emergency Prepardness
30,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034558&ds_s_kwgid=58700000724600190"",""mkwid"":""31264503953750""}",Standard_Emergency Prepardness
31,"https://www.overstock.com/Emergency-Preparedness/Food-Storage/Augason-Farms,/brand,/441/dept.html?","{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034597&ds_s_kwgid=58700000724600190"",""mkwid"":""127984571950735""}",Standard_Emergency Prepardness
32,https://www.overstock.com/search?refinebrand=Augason+Farms&,"{""cidmapping"":""236427"",""dssagcrid"":""lid=43700008217034615&ds_s_kwgid=58700000724600193"",""mkwid"":""79328947086628""}",Standard_Emergency Prepardness
