,FinalURL,CustomParameter,Identifier,Results
0,"https://www.overstock.com/Clothing-Shoes/Sunglasses/Ray_-Ban,Aviator,/brand,style,/234/dept.html?searchtype=Header","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488060&ds_s_kwgid=58700001461653158""}",Generic_Standard_Sunglasses,175
1,"https://www.overstock.com/Clothing-Shoes/Sunglasses/Ray_-Ban,Aviator,/brand,style,/234/dept.html?searchtype=Header","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488042&ds_s_kwgid=58700001461653158""}",Generic_Standard_Sunglasses,175
2,https://www.overstock.com/Clothing-Shoes/Sunglasses/234/dept.html,"{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488105&ds_s_kwgid=58700001461653173""}",Generic_Standard_Sunglasses,7485
3,https://www.overstock.com/Clothing-Shoes/Sunglasses/234/dept.html,"{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488120&ds_s_kwgid=58700001461653173""}",Generic_Standard_Sunglasses,7485
4,"https://www.overstock.com/Clothing-Shoes/Sunglasses/Ray_-Ban,Aviator,/brand,style,/234/dept.html?searchtype=Header","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488051&ds_s_kwgid=58700001461653158""}",Generic_Standard_Sunglasses,175
5,http://www.overstock.com/Clothing-Shoes/Sunglasses/234/dept.html,"{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488108&ds_s_kwgid=58700001461653173""}",Generic_Standard_Sunglasses,7485
6,https://www.overstock.com/Clothing-Shoes/Womens-Sunglasses/3422/cat.html,"{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488153&ds_s_kwgid=58700001461674632""}",Generic_Standard_Sunglasses,5030
7,"https://www.overstock.com/Clothing-Shoes/Sunglasses/Ray_-Ban,/brand,/234/dept.html?searchtype=Header","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488036&ds_s_kwgid=58700001461653155""}",Generic_Standard_Sunglasses,636
8,"https://www.overstock.com/Clothing-Shoes/Mens-Sunglasses/Ray_-Ban,/brand,/3421/cat.html","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488084&ds_s_kwgid=58700001461653164""}",Generic_Standard_Sunglasses,470
9,"https://www.overstock.com/Clothing-Shoes/Mens-Sunglasses/Ray_-Ban,/brand,/3421/cat.html","{""cidmapping"":""128505"",""dssagcrid"":""lid=43700011969488081&ds_s_kwgid=58700001461653164""}",Generic_Standard_Sunglasses,470
