,FinalURL,CustomParameter,Identifier,Results
0,https://www.overstock.com/Home-Garden/Patio-Furniture/714/cat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793275&ds_s_kwgid=58700001505819023""}",Head Terms,18126
1,https://www.overstock.com/Home-Garden/Recliners/18555/subcat.html?keywords=recliner&searchtype=Header&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066143&ds_s_kwgid=58700001505819065""}",Head Terms,1249
2,"https://www.overstock.com/search?keywords=wicker+patio+furniture&taxonomy=sto1&ralt=sto40,sto45,sto6&TID=AR:TRUE&searchtype=Header&","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066296&ds_s_kwgid=58700001505819221""}",Head Terms,1780
3,"https://www.overstock.com/Home-Garden/Coffee-Sofa-End-Tables/Round,/shape,/2030/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066152&ds_s_kwgid=58700001505819074""}",Head Terms,2184
4,https://www.overstock.com/search?keywords=&taxonomy=sub2009&searchtype=guidedNav&additionalKeywords=full+length&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066068&ds_s_kwgid=58700001505655292""}",Head Terms,502
5,https://www.overstock.com/search?keywords=&taxonomy=cat244&refinepattern=Animal&searchtype=guidedNav&additionalKeywords=cowhide&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065999&ds_s_kwgid=58700001505655223""}",Head Terms,125
6,https://www.overstock.com/Home-Garden/Futons/2026/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066080&ds_s_kwgid=58700001505655304""}",Head Terms,920
7,https://www.overstock.com/Home-Garden/Floor-Lamps/33/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012155536240&ds_s_kwgid=58700001490015350""}",Head Terms,2521
8,"https://www.overstock.com/Home-Garden/Beds/California-King,/size,/2013/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065924&ds_s_kwgid=58700001505816083""}",Head Terms,900
9,https://www.overstock.com/Home-Garden/Patio-Umbrellas/22410/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793290&ds_s_kwgid=58700001505819038""}",Head Terms,891
10,"http://www.overstock.com/Home-Garden/Futons/Mattress,/type,/2026/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066095&ds_s_kwgid=58700001505655319""}",Head Terms,365
11,"http://www.overstock.com/Home-Garden/Dressers/White-Finish,/finish,/2017/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066290&ds_s_kwgid=58700001505819215""}",Head Terms,384
12,https://www.overstock.com/Home-Garden/Kids-Furniture/1455/cat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066134&ds_s_kwgid=58700001505655358""}",Head Terms,7935
13,"http://www.overstock.com/Home-Garden/Beds/Bunk-Bed,(,300),/bed-style,price,/2013/subcat.html?","{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270065954&ds_s_kwgid=58700001505816113""}",Head Terms,0
14,http://www.overstock.com/Office-Supplies/Computer-Desks/22542/subcat.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012222793248&ds_s_kwgid=58700001505818996""}",Head Terms,772
15,http://www.overstock.com/Bedding-Bath/Kids-Teen-Bedding/455/dept.html?,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012270066131&ds_s_kwgid=58700001505655355""}",Head Terms,4012
16,http://www.overstock.com/Bedding-Bath/Luxury-Bedding-Bath/10000/dept.html?products=11405277&TID=L2FB_LuxuryBedding&,"{""cidmapping"":""249664"",""dssagcrid"":""lid=43700012144873540&ds_s_kwgid=58700001491556845""}",Head Terms,4346
