,FinalURL,CustomParameter,Identifier,Results
0,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?TID=COOP-86800-GPS0502-20170501-45","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700018424441864&ds_s_kwgid=58700001682166193""}",Standard_Crafts,136
1,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?TID=COOP-86800-GPS0502-20170501-45","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677578&ds_s_kwgid=58700001682166193""}",Standard_Crafts,136
2,https://www.overstock.com/Crafts-Sewing/Sewing-Storage/20388/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677509&ds_s_kwgid=58700001682166169""}",Standard_Crafts,451
3,"https://www.overstock.com/Crafts-Sewing/Die-Cut-Machines/Cricut,/brand,/19136/subcat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677362&ds_s_kwgid=58700001682166133""}",Standard_Crafts,5
4,https://www.overstock.com/Crafts-Sewing/Sewing-Storage/20388/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677512&ds_s_kwgid=58700001682166169""}",Standard_Crafts,451
5,https://www.overstock.com/search?keywords=&additionalKeywords=shrinky&taxonomy=sto34&sortOption=Top+Sellers&,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677536&ds_s_kwgid=58700001682166178""}",Standard_Crafts,35
6,https://www.overstock.com/search?keywords=paint+by+numbers+kit&,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677029&ds_s_kwgid=58700001682156491""}",Standard_Crafts,377
7,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677425&ds_s_kwgid=58700001682166148""}",Standard_Crafts,68
8,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677128&ds_s_kwgid=58700001682156521""}",Standard_Crafts,181
9,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677236&ds_s_kwgid=58700001682156557""}",Standard_Crafts,136
10,https://www.overstock.com/Crafts-Sewing/Cross-Stitch-Needlework/3152/cat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677104&ds_s_kwgid=58700001682156515""}",Standard_Crafts,7569
11,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677485&ds_s_kwgid=58700001682166160""}",Standard_Crafts,181
12,https://www.overstock.com/search?keywords=&additionalKeywords=shrinky&taxonomy=sto34&sortOption=Top+Sellers&,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677533&ds_s_kwgid=58700001682166178""}",Standard_Crafts,35
13,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677152&ds_s_kwgid=58700001682156527""}",Standard_Crafts,68
14,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677242&ds_s_kwgid=58700001682156557""}",Standard_Crafts,136
15,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677155&ds_s_kwgid=58700001682156530""}",Standard_Crafts,68
16,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677158&ds_s_kwgid=58700001682156530""}",Standard_Crafts,68
17,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677095&ds_s_kwgid=58700001682156512""}",Standard_Crafts,181
18,https://www.overstock.com/Crafts-Sewing/Cross-Stitch-Needlework/3152/cat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677113&ds_s_kwgid=58700001682156515""}",Standard_Crafts,7569
19,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677239&ds_s_kwgid=58700001682156557""}",Standard_Crafts,136
20,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677542&ds_s_kwgid=58700001682166181""}",Standard_Crafts,136
21,"https://www.overstock.com/Crafts-Sewing/Sewing-Machines/Singer,/brand,/19182/subcat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677614&ds_s_kwgid=58700001682166202""}",Standard_Crafts,30
22,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677503&ds_s_kwgid=58700001682166166""}",Standard_Crafts,68
23,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677482&ds_s_kwgid=58700001682166160""}",Standard_Crafts,181
24,https://www.overstock.com/Crafts-Sewing/Card-Making/3127/cat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677083&ds_s_kwgid=58700001682156509""}",Standard_Crafts,900
25,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677473&ds_s_kwgid=58700001682166160""}",Standard_Crafts,181
26,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677467&ds_s_kwgid=58700001682166157""}",Standard_Crafts,68
27,"https://www.overstock.com/Crafts-Sewing/Sewing-Storage/Plastic,/material,/20388/subcat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677515&ds_s_kwgid=58700001682166172""}",Standard_Crafts,34
28,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677626&ds_s_kwgid=58700001682166205""}",Standard_Crafts,68
29,https://www.overstock.com/Crafts-Sewing/Sewing-Storage/20388/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677506&ds_s_kwgid=58700001682166169""}",Standard_Crafts,451
30,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?TID=COOP-86800-GPS0502-20170501-45","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677593&ds_s_kwgid=58700001682166193""}",Standard_Crafts,136
31,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677599&ds_s_kwgid=58700001682166196""}",Standard_Crafts,136
32,"https://www.overstock.com/Crafts-Sewing/Sewing-Machines/Singer,/brand,/19182/subcat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677617&ds_s_kwgid=58700001682166202""}",Standard_Crafts,30
33,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677548&ds_s_kwgid=58700001682166181""}",Standard_Crafts,136
34,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?TID=COOP-86800-GPS0502-20170501-45","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677581&ds_s_kwgid=58700001682166193""}",Standard_Crafts,136
35,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677464&ds_s_kwgid=58700001682166157""}",Standard_Crafts,68
36,https://www.overstock.com/Crafts-Sewing/Die-Cut-Machines/19136/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677419&ds_s_kwgid=58700001682166145""}",Standard_Crafts,84
37,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Sizzix,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677266&ds_s_kwgid=58700001682156566""}",Standard_Crafts,2177
38,https://www.overstock.com/Crafts-Sewing/Sewing-Machines/19182/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677476&ds_s_kwgid=58700001682166160""}",Standard_Crafts,181
39,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677557&ds_s_kwgid=58700001682166184""}",Standard_Crafts,136
40,"https://www.overstock.com/Crafts-Sewing/Die-Cutting/Silhouette,/brand,/3128/cat.html?TID=COOP-86800-GPS0502-20170501-45","{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677584&ds_s_kwgid=58700001682166193""}",Standard_Crafts,136
41,https://www.overstock.com/Crafts-Sewing/Dress-Forms/20226/subcat.html?,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677161&ds_s_kwgid=58700001682156530""}",Standard_Crafts,68
42,https://www.overstock.com/search?keywords=paint+by+numbers+kit&,"{""cidmapping"":""136140"",""dssagcrid"":""lid=43700013357677164&ds_s_kwgid=58700001682156533""}",Standard_Crafts,377
