,FinalURL,CustomParameter,Identifier,Results
0,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218939117&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
1,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172679&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
2,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215172796&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
3,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218956682&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
4,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215155660&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
5,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215155759&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
6,https://www.overstock.com/search?keywords=magnetic+bracelets&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215169619&ds_s_kwgid=58700000724660274""}",Standard_Health & Beauty,161
7,https://www.overstock.com/search?keywords=ralph+lauren+fragrance&taxonomy=cat3467&searchtype=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222841965&ds_s_kwgid=58700000727137408""}",Standard_Health & Beauty,44
8,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215141173&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
9,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215163250&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
10,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218937953&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
11,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215140753&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
12,https://www.overstock.com/search?keywords=HCG&taxonomy=sto8&fp=f&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222805701&ds_s_kwgid=58700000725336992""}",Standard_Health & Beauty,7
13,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215157745&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
14,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218955398&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
15,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174893&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
16,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218954639&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
17,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174368&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
18,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222823923&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
19,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?products=4313465&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174200&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
20,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218955113&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
21,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222817386&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
22,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215140426&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
23,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215167660&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
24,https://www.overstock.com/Health-Beauty/Perfumes-Fragrances/3467/cat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215174680&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,10818
25,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218954576&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
26,https://www.overstock.com/search?keywords=carolina+herrera&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218963645&ds_s_kwgid=58700000725343310""}",Standard_Health & Beauty,77
27,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218955401&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
28,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218953817&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5906
29,https://www.overstock.com/search?keywords=acqua+di+gio&SearchType=Header&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222834867&ds_s_kwgid=58700000727137903""}",Standard_Health & Beauty,31
30,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008215164279&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
31,https://www.overstock.com/search?keywords=shavers&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222805149&ds_s_kwgid=58700000727137351""}",Standard_Health & Beauty,32
32,https://www.overstock.com/Health-Beauty/Mens-Fragrances/21087/subcat.html?products=3872584&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222831741&ds_s_kwgid=58700000725336995""}",Standard_Health & Beauty,3885
33,https://www.overstock.com/Health-Beauty/8/store.html?,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222818280&ds_s_kwgid=58700000724660253""}",Standard_Health & Beauty,re check
34,https://www.overstock.com/search?keywords=elizabeth+taylor&taxonomy=sto8&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008222826179&ds_s_kwgid=58700000724660802""}",Standard_Health & Beauty,45
35,https://www.overstock.com/Health-Beauty/Womens-Fragrances/21088/subcat.html?sort=Top+Sellers&,"{""cidmapping"":""128610"",""dssagcrid"":""lid=43700008218938262&ds_s_kwgid=58700000725336989""}",Standard_Health & Beauty,5920
