,FinalURL,CustomParameter,Identifier,Results
0,"https://www.overstock.com/Tommy-Bahama,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497894&ds_s_kwgid=58700001644419242""}",Standard_Partners,486
1,"https://www.overstock.com/Madison-Park,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498065&ds_s_kwgid=58700001644419128""}",Standard_Partners,1925
2,"https://www.overstock.com/South-Shore-Furniture,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497897&ds_s_kwgid=58700001644419227""}",Standard_Partners,620
3,"https://www.overstock.com/Simple-Elegance,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497885&ds_s_kwgid=58700001644419209""}",Standard_Partners,16
4,"https://www.overstock.com/NuForm,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497903&ds_s_kwgid=58700001644419158""}",Standard_Partners,67
5,"https://www.overstock.com/Abbyson,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498089&ds_s_kwgid=58700001644418987""}",Standard_Partners,1168
6,"https://www.overstock.com/Chic-Home,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498098&ds_s_kwgid=58700001644419026""}",Standard_Partners,893
7,"https://www.overstock.com/HomePop,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498011&ds_s_kwgid=58700001644419083""}",Standard_Partners,378
8,"https://www.overstock.com/WyndenHall,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498062&ds_s_kwgid=58700001644419266""}",Standard_Partners,380
9,"https://www.overstock.com/Furniture-of-America,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497855&ds_s_kwgid=58700001644419065""}",Standard_Partners,3588
10,"https://www.overstock.com/Fashion-Bed-Group,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498068&ds_s_kwgid=58700001644419059""}",Standard_Partners,200
11,"https://www.overstock.com/International-Caravan,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498059&ds_s_kwgid=58700001644419101""}",Standard_Partners,499
12,"https://www.overstock.com/Baxton-Studio,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498014&ds_s_kwgid=58700001644419014""}",Standard_Partners,1275
13,"https://www.overstock.com/Modway,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497936&ds_s_kwgid=58700001644419143""}",Standard_Partners,1356
14,"https://www.overstock.com/Christopher-Knight-Home,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497867&ds_s_kwgid=58700001644419029""}",Standard_Partners,2271
15,"https://www.overstock.com/Ink-and-Ivy,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497978&ds_s_kwgid=58700001644419095""}",Standard_Partners,552
16,"https://www.overstock.com/Signal-Hills,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498044&ds_s_kwgid=58700001644419200""}",Standard_Partners,2
17,"https://www.overstock.com/Oh!-Home,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498038&ds_s_kwgid=58700001644419167""}",Standard_Partners,8
18,"https://www.overstock.com/Warehouse-of-Tiffany,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497963&ds_s_kwgid=58700001644419263""}",Standard_Partners,1239
19,"https://www.overstock.com/Mi-Zone,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497972&ds_s_kwgid=58700001644419131""}",Standard_Partners,0
20,"https://www.overstock.com/Somette,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497990&ds_s_kwgid=58700001644419224""}",Standard_Partners,1272
21,"https://www.overstock.com/ID_-Intelligent-Designs,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498080&ds_s_kwgid=58700001644419092""}",Standard_Partners,281
22,"https://www.overstock.com/Tribeca-Living,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497942&ds_s_kwgid=58700001644419245""}",Standard_Partners,97
23,"https://www.overstock.com/Rolex,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498002&ds_s_kwgid=58700001644419188""}",Standard_Partners,657
24,"https://www.overstock.com/Nourison,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497927&ds_s_kwgid=58700001644419152""}",Standard_Partners,12348
25,"https://www.overstock.com/Kraus,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497933&ds_s_kwgid=58700001644419110""}",Standard_Partners,376
26,"https://www.overstock.com/Prepac,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497882&ds_s_kwgid=58700001644419176""}",Standard_Partners,342
27,"https://www.overstock.com/Corvus,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498047&ds_s_kwgid=58700001644419035""}",Standard_Partners,78
28,"https://www.overstock.com/Office-Star-Products,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067497981&ds_s_kwgid=58700001644419164""}",Standard_Partners,540
29,"https://www.overstock.com/Annello,/brand,/results.html?","{""cidmapping"":""246574"",""dssagcrid"":""lid=43700013067498056&ds_s_kwgid=58700001644418999""}",Standard_Partners,1898
