,Identifier,total_urls,unique_urls,total_ads_with_broken_urls,unique_broken_urls,recheck_urls
0,Experiment-Bedding Geo Jan 24,7092,746,90,12,3
1,Experiment_Furniture_Hackathon 3,39063,9757,930,563,102
2,Experiment_Home Decor_coop #4,277673,3783,528,88,63
3,Experiment_Jewelry_Smart Bidding 4,8111,1269,89,18,11
4,Generic_Standard_Bath,19182,76,1,1,0
5,Generic_Standard_Bedding,7092,738,18,3,3
6,Generic_Standard_Clothing,27977,1353,858,29,20
7,Generic_Standard_Electroni,1405,321,55,20,0
8,Generic_Standard_Furniture,22062,2962,28,7,95
9,Generic_Standard_Garden,174,48,0,0,2
10,Generic_Standard_Handbag,1151,54,143,3,0
11,Generic_Standard_Home Decor,438641,5437,2297,119,83
12,Generic_Standard_Houseware,22925,532,576,53,7
13,Generic_Standard_Jewelry,8111,1269,89,18,11
14,Generic_Standard_Luggage,10896,402,1016,101,29
15,Generic_Standard_Pet,7488,55,58,2,1
16,Generic_Standard_Sunglasse,76,17,0,0,0
17,Head Term,225,181,1,1,7
18,ite_link,4778,1311,22,16,39
19,Standard_Craft,212,24,0,0,0
20,Standard_Emergency Prepardne,59,5,0,0,0
21,Standard_Health & Beauty,14650,1333,13,11,3
22,Standard_Partner,92,92,3,3,0
